"last_name, first_name","player_id","year","pa","home_run","xwobacon","exit_velocity_avg","barrel_batted_rate","hard_hit_percent","avg_best_speed","oz_contact_percent","whiff_percent","flyballs_percent"
"Blackmon, Charlie","453568","2024","499","12",".329","84.8",5.2,27.2,"96.083583591",67.3,19.2,26.9
"Solano, Donovan","456781","2024","309","8",".359","87.3",3.7,37.4,"98.057695046",54.1,23.5,25.6
"McCutchen, Andrew","457705","2024","515","20",".397","88.4",11.7,36.7,"99.420601139",44.8,28.9,29.3
"Turner, Justin","457759","2024","539","11",".346","87.1",4.6,32.5,"96.702342312",68.7,17,30.6
"Santana, Carlos","467793","2024","594","23",".349","89.2",7.3,39.9,"99.506124387",59.7,23.3,28.8
"Rojas, Miguel","500743","2024","337","6",".317","85",2.5,27.8,"96.317826471",73,13.9,17.3
"Pham, Tommy","502054","2024","478","9",".384","90.4",7.2,42.7,"101.105935449",53.8,22.5,22.4
"Martinez, J.D.","502110","2024","495","16",".463","91",14.9,46.1,"101.443240544",39.9,31.5,31.9
"Goldschmidt, Paul","502671","2024","654","22",".429","91.2",10.7,49.6,"101.892583709",60.3,27.4,26.9
"Altuve, Jose","514888","2024","682","20",".354","86.5",6.5,31.2,"97.323672581",62.7,21.9,25.9
"Marte, Starling","516782","2024","370","7",".405","89.8",6.9,42.9,"101.20205624",46.9,28.1,15.8
"d'Arnaud, Travis","518595","2024","341","15",".402","89.9",10.4,41,"100.537202273",50,32.8,27.5
"Freeman, Freddie","518692","2024","638","22",".395","89.4",9.1,41.8,"100.349133067",71,20.2,31.1
"Rizzo, Anthony","519203","2024","375","8",".314","86.7",4,33.2,"97.798203577",64.9,19.3,21.5
"Stanton, Giancarlo","519317","2024","459","27",".496","94.6",20.7,55.3,"108.185328759",48,34.4,25.4
"Perez, Salvador","521692","2024","652","27",".429","91.1",12.2,44.8,"101.856275647",59,27.8,33.8
"Ozuna, Marcell","542303","2024","688","39",".513","92.2",15.5,53.5,"103.370699452",49.6,31.4,31.6
"Semien, Marcus","543760","2024","718","23",".336","87.4",6.6,35.2,"97.806210919",56.2,20.2,30
"Springer III, George","543807","2024","614","19",".354","87.5",9.3,37.4,"99.896868",52.7,25.3,22.2
"Vázquez, Christian","543877","2024","315","7",".323","88.5",3.8,36.6,"98.036944138",64.2,20.8,29.4
"Vargas, Ildemaro","545121","2024","303","1",".278","87",1.2,31.9,"97.073438667",73.1,12.4,16.7
"Harper, Bryce","547180","2024","631","30",".428","91.1",10.6,48.2,"102.531835097",52.4,26.6,30.4
"Díaz, Elias","553869","2024","351","6",".320","87.1",4.7,34.5,"99.032119063",52.2,27.8,17.1
"Suárez, Eugenio","553993","2024","640","30",".425","89.1",11.3,42.4,"100.570552315",44.8,29.1,33.3
"Urshela, Gio","570482","2024","461","9",".338","86.4",4.9,28.4,"96.696776409",70.4,20.3,19.7
"Arenado, Nolan","571448","2024","635","16",".315","86.3",3.2,31.6,"96.924147927",67.3,17.2,23.5
"Haniger, Mitch","571745","2024","423","12",".374","90.6",9,45.9,"101.021551732",43.5,32.3,28.6
"Hernández, Enrique","571771","2024","393","12",".324","89.6",4.8,41.5,"99.326670699",60.3,22.9,29.4
"Singleton, Jon","572138","2024","405","13",".377","88.7",8.9,37.2,"99.784248293",47.6,30.1,30.8
"Taylor, Michael A.","572191","2024","300","5",".384","89.3",11.6,40.1,"100.583164074",32.4,39,25.6
"Walker, Christian","572233","2024","552","26",".428","91.2",13.3,48,"103.127969548",51.2,25.6,31.9
"Yastrzemski, Mike","573262","2024","474","18",".373","90.4",10.5,41,"99.549726267",56.3,26.1,32
"Contreras, Willson","575929","2024","358","15",".448","91.6",11.2,46.8,"103.712134757",36.4,35,24.4
"Canha, Mark","592192","2024","462","7",".299","88.4",3.3,37.4,"98.159166424",66.2,21.8,21.9
"Castellanos, Nick","592206","2024","659","23",".397","88.4",8.1,38.2,"99.266703034",48.1,30.1,30.5
"Drury, Brandon","592273","2024","360","4",".291","87.6",3.6,35.6,"99.062132195",59.9,24.4,18.6
"Judge, Aaron","592450","2024","704","58",".632","96.2",26.9,60.8,"107.20043567",42.7,30.7,38.7
"Machado, Manny","592518","2024","643","29",".398","92.5",11,48.8,"103.370494128",54.7,24.4,22
"Pederson, Joc","592626","2024","449","23",".449","92.3",12.8,46.2,"102.648599462",62.4,25,28.6
"Realmuto, J.T.","592663","2024","413","14",".431","89.2",10.4,46.6,"101.248653813",52.8,26.2,21.5
"Renfroe, Hunter","592669","2024","424","15",".322","88.5",6.6,39.4,"100.265103311",57.3,23.4,27.2
"Rosario, Eddie","592696","2024","319","10",".317","91",5.3,42.5,"99.203116161",56.5,27.4,32.3
"Yelich, Christian","592885","2024","315","11",".421","91.1",7.9,46.7,"103.017733429",57.4,22.9,19.2
"Merrifield, Whit","593160","2024","335","4",".299","84.1",2.4,21.6,"94.385287083",63.8,18.5,24.5
"Bogaerts, Xander","593428","2024","463","11",".343","88.1",5.1,33.2,"98.125304802",62.7,18.3,23.9
"Polanco, Jorge","593871","2024","468","16",".399","88.3",8.9,37.4,"99.204331655",53.6,28.1,31.7
"Duvall, Adam","594807","2024","330","11",".377","86.9",10.7,36.6,"99.791319515",50.2,27.7,35.1
"Profar, Jurickson","595777","2024","668","24",".379","91.1",7.2,44.4,"100.952441293",66.6,16.9,25.6
"Cave, Jake","595909","2024","346","7",".365","87.5",5.2,37.1,"98.314485398",55.3,28.2,24.5
"Lindor, Francisco","596019","2024","689","33",".438","90.9",13.6,47.4,"101.098117236",58.7,23.7,31.4
"Kepler, Max","596146","2024","399","8",".349","88.9",6.2,36.8,"99.569991319",53.5,24.4,31.3
"Candelario, Jeimer","600869","2024","463","20",".345","86.9",8.2,34.5,"97.855535823",55.5,29.1,30.7
"Urías, Ramón","602104","2024","301","11",".368","88.3",8.7,38.5,"98.830197431",55.6,26.8,27.5
"Bell, Josh","605137","2024","603","19",".355","88.9",7.6,40.1,"100.078711292",54.4,26.8,23.5
"Betts, Mookie","605141","2024","516","19",".366","89.9",6,39.5,"98.50877402",61.3,14.9,35.3
"Arcia, Orlando","606115","2024","602","17",".299","88.2",5.3,37.8,"98.41985743",50.3,26.4,21.3
"Hernández, Teoscar","606192","2024","652","33",".462","90.6",14.9,46.8,"102.727395423",43.6,34,26.6
"Marte, Ketel","606466","2024","583","36",".452","94",12.3,53.8,"103.991137178",59.6,21.3,24.8
"Nimmo, Brandon","607043","2024","663","23",".390","91.9",9.1,47.4,"101.264982933",54.8,23.4,27.2
"Turner, Trea","607208","2024","539","21",".369","89.1",6.9,40.7,"99.706063382",49,26.1,26.5
"Pillar, Kevin","607680","2024","314","8",".314","84.6",3.7,29.7,"96.438782936",58.5,24.4,31.5
"Ramírez, José","608070","2024","682","39",".354","89.2",8.6,39.7,"99.642954081",73.2,15.2,31.1
"Bregman, Alex","608324","2024","634","26",".341","89.1",6.2,40.4,"98.929856707",75.3,12.8,28.3
"Kelly, Carson","608348","2024","313","9",".342","87.6",6.6,39.4,"98.979228142",52.4,22.8,28.6
"Seager, Corey","608369","2024","533","30",".458","92.1",15.2,50.7,"103.274395474",49.8,23.4,31.2
"Winker, Jesse","608385","2024","508","14",".356","88.6",7.6,37.4,"98.91091179",62.5,19.6,22.2
"Refsnyder, Rob","608701","2024","307","11",".402","89.6",9.7,43.1,"101.623071856",48.6,28.1,22.6
"Meneses, Joey","608841","2024","313","3",".306","88.9",4.5,39.3,"99.265454911",56.1,22.9,23.7
"Andujar, Miguel","609280","2024","319","4",".308","86.1",2.7,33.7,"97.864980763",68.5,16,18
"Swanson, Dansby","621020","2024","593","16",".392","89.4",9.2,42.7,"100.210263655",51.3,28.7,23.2
"Newman, Kevin","621028","2024","311","3",".302","85.6",1.6,23.4,"95.24854438",63.4,17.1,19.8
"Correa, Carlos","621043","2024","367","14",".393","90.3",9.2,44.7,"102.536128244",63.4,20.4,22.9
"Taylor, Tyrone","621438","2024","345","7",".367","87.3",7.1,35.3,"99.355167983",56.8,22,24.5
"Buxton, Byron","621439","2024","388","18",".456","91.7",13.2,48.1,"102.451274806",46.3,32.1,31.4
"Ward, Taylor","621493","2024","663","25",".429","90.9",13,42.4,"100.017751581",49.1,25.5,36.3
"Olson, Matt","621566","2024","685","29",".416","91.5",12.4,47.4,"102.726279537",63.4,26.3,30.3
"Margot, Manuel","622534","2024","343","4",".338","88.2",4.9,33.6,"98.859258923",62.9,20.6,23.8
"Santander, Anthony","623993","2024","665","44",".370","89.8",11.7,41.6,"100.325476894",72,20,33.8
"Alonso, Pete","624413","2024","695","34",".417","89.8",13.2,46.4,"102.785114727",51.9,24.7,28.2
"Conforto, Michael","624424","2024","488","20",".432","90.2",11.8,46,"101.95530559",55.8,25.2,29.1
"Soler, Jorge","624585","2024","574","21",".416","90.5",12.6,44.1,"101.898357865",46.4,28.9,30.1
"Cronenworth, Jake","630105","2024","656","17",".370","88.6",7.8,36.7,"99.527561266",62.3,17,25.3
"Bauers, Jake","641343","2024","346","12",".410","89.4",10.3,42.9,"99.96682033",36.7,29.1,35.3
"Bellinger, Cody","641355","2024","569","18",".331","87.8",6.3,32.9,"97.314029213",65,22.2,35
"Crawford, J.P.","641487","2024","451","9",".345","87.5",6.5,37.8,"98.950282708",63,20.2,24.4
"Fraley, Jake","641584","2024","382","5",".313","84.3",3.2,24.7,"95.677326241",62.4,21.3,21.2
"Garver, Mitch","641598","2024","430","15",".346","89.9",8.4,39.7,"99.983276271",42.6,30.8,30.8
"Heim, Jonah","641680","2024","491","13",".311","88.5",5.9,36.4,"98.507122973",64.2,20.7,27.5
"McMahon, Ryan","641857","2024","645","20",".417","92.1",10.9,49.7,"102.62988712",49.1,30,24.6
"O'Neill, Tyler","641933","2024","473","31",".480","90.9",17.3,48.8,"102.819767874",44.2,34.1,33.1
"Smith, Dominic","642086","2024","307","6",".351","89.3",10.6,38.7,"98.769074141",60.9,25.3,32.2
"Tellez, Rowdy","642133","2024","421","13",".349","89.4",8,36.5,"100.611958926",55.1,21.9,25.4
"Siri, Jose","642350","2024","448","18",".453","87.5",14.7,41.6,"100.732893305",40.2,41.6,29.8
"Rosario, Amed","642708","2024","346","3",".339","86.9",4.6,36.2,"98.559932462",58,24.4,18.8
"Adames, Willy","642715","2024","688","32",".422","88.6",12,40.7,"99.769639045",49.2,29.5,36.4
"Estrada, Thairo","642731","2024","381","9",".310","86.2",4.8,31.7,"97.31710125",58.4,20.5,21.7
"Benintendi, Andrew","643217","2024","522","20",".344","88",6.3,34.4,"97.17823",66.5,20.9,31.8
"Dubón, Mauricio","643289","2024","428","4",".293","86.1",2.8,26.5,"95.977741503",75.1,18.8,23.9
"Jansen, Danny","643376","2024","324","9",".296","86.6",6.4,29.7,"97.185697545",61,20.9,34.1
"Kiner-Falefa, Isiah","643396","2024","496","8",".315","86.1",2.3,29.7,"96.695719581",72.5,14.8,21.2
"McNeil, Jeff","643446","2024","472","12",".296","87",3.1,31.1,"96.866365393",64.8,17.4,26.7
"Tauchman, Mike","643565","2024","350","7",".355","89",7.4,41,"99.141927105",65.9,22.5,31.4
"Albies, Ozzie","645277","2024","435","10",".328","88.4",6.2,32,"97.095539467",68.7,20.5,29
"Devers, Rafael","646240","2024","601","28",".459","93.2",13,52.6,"104.594814974",62.9,30.9,26.6
"Naylor, Josh","647304","2024","633","31",".365","89.9",8.4,40.9,"100.815360087",63,22.4,25.1
"Toro, Abraham","647351","2024","364","6",".324","87.2",4.3,29.6,"97.476845145",65.1,17.4,25.6
"Arraez, Luis","650333","2024","672","4",".324","86.3",1.6,23.7,"94.838000362",88,6.8,25.2
"Jiménez, Eloy","650391","2024","349","6",".348","92",7.8,49,"103.179997795",53.8,26.2,15.7
"Torres, Gleyber","650402","2024","665","15",".345","88.6",6.3,35.4,"98.295655921",63,22.9,29.9
"Castro, Willi","650489","2024","635","12",".375","87.4",7,36.8,"98.851706502",46.2,28.9,27.1
"Díaz, Yandy","650490","2024","621","14",".364","92.2",7.6,48.7,"103.441830979",74.5,14.2,17.8
"De La Cruz, Bryan","650559","2024","622","21",".404","89.6",9.3,41.3,"99.848652919",53,30.1,29.8
"Rengifo, Luis","650859","2024","304","6",".313","87",2.5,32.5,"96.9891535",61.2,22.3,17.1
"Chapman, Matt","656305","2024","647","27",".418","93.2",12.6,48.3,"104.356012981",63.2,23.5,28.4
"Hoskins, Rhys","656555","2024","517","26",".380","88.7",12.7,42.3,"99.737434248",61,26.3,36.6
"Joe, Connor","656582","2024","416","9",".298","85.3",4.7,32.7,"97.939201314",52.2,25.7,24.7
"McKinstry, Zach","656716","2024","325","4",".339","88",4.3,32.6,"97.327044",57.3,22.1,31.3
"Mullins II, Cedric","656775","2024","499","18",".323","87.1",4.9,33.4,"97.759606105",62.5,18.9,28
"O'Hearn, Ryan","656811","2024","494","15",".376","89.6",6.9,40.1,"99.733150957",62.2,18.1,27.1
"Rivera, Emmanuel","656896","2024","302","5",".371","89.7",7.9,44.1,"99.97328099",49.4,28.3,22.8
"Schwarber, Kyle","656941","2024","692","38",".489","93.6",15.6,55.5,"105.154527813",45.7,32,28.6
"Thomas, Lane","657041","2024","528","15",".378","88.8",7.4,40.6,"100.376555353",59.1,23.3,26.8
"Verdugo, Alex","657077","2024","621","13",".322","88.3",5.6,34.9,"98.009613263",66.3,15.5,23
"Wong, Connor","657136","2024","487","13",".345","86.5",6.3,34.5,"98.745018171",46.4,28.7,24.1
"DeJong, Paul","657557","2024","482","24",".404","87.8",10.2,41.5,"99.999893878",43.9,34.9,33.3
"Laureano, Ramón","657656","2024","309","11",".432","89.2",12.6,40.8,"100.254641146",45.5,31.8,30.4
"Sheets, Gavin","657757","2024","501","10",".358","87.8",5.7,35.3,"98.863415862",65.5,23,23
"Ohtani, Shohei","660271","2024","731","54",".561","95.8",21.5,60.1,"106.727792385",53.9,29.8,31.3
